SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,biodiversity
Mombasa,0,29.76321809,,,,,,,,,,,,,,,,,,,,,,,,
Mpapa,30,5.571439638,,,,,,,,,,,,,,,,,,,,,,,,
Mpapa,30,5.571439638,,,,,,,,,,,,,,,,,,,,,,,,
Mpendae,0,24.33593198,,,,,,,,,,,,,,,,,,,,,,,,
Mtakuja,80,1.638745025,3,0,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,6
Mtende,70,0.20583207,3,0,3,3,3,2,0,3,3,0,2,3,2,2,2,2,2,2,3,2,2,3,3,20
Mtende,70,0.20583207,3,0,3,3,3,2,0,3,3,0,2,3,2,2,2,2,2,2,3,2,2,3,3,20
Mtende,70,0.20583207,3,0,3,3,3,2,0,3,3,0,2,3,2,2,2,2,2,2,3,2,2,3,3,20
Mtofaani,60,19.41513794,3,0,3,0,3,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,10
Mtoni,80,9.064533743,,,,,,,,,,,,,,,,,,,,,,,,
MtoniChemchem,20,21.60666288,,,,,,,,,,,,,,,,,,,,,,,,
MtoniKidatu,0,30.70030534,,,,,,,,,,,,,,,,,,,,,,,,
Mtopepo,0,31.64988871,,,,,,,,,,,,,,,,,,,,,,,,
Mtowapwani,50,1.165452865,3,3,3,0,3,0,0,3,0,0,0,3,2,2,2,0,0,0,0,0,0,3,2,11
Muembeladu,0,36.32570259,,,,,,,,,,,,,,,,,,,,,,,,
MuembeMadema,50,23.85937798,,,,,,,,,,,,,,,,,,,,,,,,
MuembeMajogoo,,41.8415316,,,,,,,,,,,,,,,,,,,,,,,,
MuembeMchomeke,0,18.57404542,2,0,1,0,2,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,7
Muembeshauri,0,46.29952614,1,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
MuembeTanga,0,40.94056085,,,,,,,,,,,,,,,,,,,,,,,,
Munduli,40,17.85291061,,,,,,,,,,,,,,,,,,,,,,,,
Muungano,0,55.3149793,,,,,,,,,,,,,,,,,,,,,,,,
Muungoni,60,0.246961831,3,0,2,3,3,0,0,0,3,0,1,3,2,2,2,0,0,1,3,3,3,3,0,15
Muungoni,60,0.246961831,3,0,2,3,3,0,0,0,3,0,1,3,2,2,2,0,0,1,3,3,3,3,0,15
Muungoni,60,0.246961831,3,0,2,3,3,0,0,0,3,0,1,3,2,2,2,0,0,1,3,3,3,3,0,15
Muwanda,0,0.672308344,3,0,3,0,3,0,0,3,1,0,0,3,2,2,2,0,3,0,2,2,2,3,2,15
Muwange,0,5.579845952,3,3,3,0,3,0,2,3,3,3,0,3,3,2,1,2,2,0,0,1,0,3,2,17
Muyuni A,50,0.130587305,3,0,3,3,3,1,0,3,3,0,2,3,3,3,3,1,2,1,2,3,2,3,3,20
Muyuni A,50,0.130587305,3,0,3,3,3,1,0,3,3,0,2,3,3,3,3,1,2,1,2,3,2,3,3,20
Muyuni A,50,0.130587305,3,0,3,3,3,1,0,3,3,0,2,3,3,3,3,1,2,1,2,3,2,3,3,20
Muyuni B,60,0.267694534,3,0,3,2,3,0,0,0,3,0,2,0,0,0,0,0,0,0,3,3,3,3,0,10
Muyuni B,60,0.267694534,3,0,3,2,3,0,0,0,3,0,2,0,0,0,0,0,0,0,3,3,3,3,0,10
Muyuni B,60,0.267694534,3,0,3,2,3,0,0,0,3,0,2,0,0,0,0,0,0,0,3,3,3,3,0,10
Muyuni C,60,0.052894994,3,0,3,3,3,2,0,3,3,0,3,3,3,3,3,2,2,2,0,3,2,3,3,19
Muyuni C,60,0.052894994,3,0,3,3,3,2,0,3,3,0,3,3,3,3,3,2,2,2,0,3,2,3,3,19
Muyuni C,60,0.052894994,3,0,3,3,3,2,0,3,3,0,3,3,3,3,3,2,2,2,0,3,2,3,3,19
Mwakaje,60,1.529733684,3,0,3,0,3,0,0,1,0,0,0,3,2,2,2,0,1,0,0,0,0,3,1,11
Mwanakwerekwe,,40.71590615,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Mwanyanya,40,23.58362277,3,0,3,0,3,0,0,1,0,0,0,3,2,2,2,0,1,0,0,0,0,2,1,11
MwembeMakumbi,0,40.20580107,,,,,,,,,,,,,,,,,,,,,,,,
Mwera,60,8.66299546,2,0,3,0,3,0,0,1,0,0,0,3,2,2,2,0,1,0,0,0,0,2,1,11
Mzuri,50,1.690618479,3,0,3,1,3,0,0,3,3,0,1,3,2,1,1,0,0,0,0,1,1,3,3,15
Mzuri,50,1.690618479,3,0,3,1,3,0,0,3,3,0,1,3,2,1,1,0,0,0,0,1,1,3,3,15
Mzuri,50,1.690618479,3,0,3,1,3,0,0,3,3,0,1,3,2,1,1,0,0,0,0,1,1,3,3,15
NdijaniMseweni,60,0.814840553,3,0,3,0,3,0,0,2,1,0,0,2,2,2,2,0,2,0,0,0,0,3,2,12
NdijaniMseweni,60,0.814840553,3,0,3,0,3,0,0,2,1,0,0,2,2,2,2,0,2,0,0,0,0,3,2,12
Ndijanimwembepunda,80,0.886338752,3,0,3,0,3,0,0,2,1,0,0,2,2,2,2,0,2,0,0,0,0,3,0,11
Ndijanimwembepunda,80,0.886338752,3,0,3,0,3,0,0,2,1,0,0,2,2,2,2,0,2,0,0,0,0,3,0,11
Ng'ambwa,0,0.190725221,2,1,3,1,3,2,0,0,3,0,0,3,3,3,3,2,2,0,2,2,0,3,0,16
Ng'ambwa,0,0.190725221,2,1,3,1,3,2,0,0,3,0,0,3,3,3,3,2,2,0,2,2,0,3,0,16
Nganani,50,1.574451691,3,0,3,3,3,0,0,0,3,0,0,3,3,3,3,1,1,2,1,3,1,3,0,16
Nganani,50,1.574451691,3,0,3,3,3,0,0,0,3,0,0,3,3,3,3,1,1,2,1,3,1,3,0,16
Nganani,50,1.574451691,3,0,3,3,3,0,0,0,3,0,0,3,3,3,3,1,1,2,1,3,1,3,0,16
Njiayamtoni,20,0.565450152,3,0,2,0,3,0,0,2,1,0,0,3,2,2,2,0,2,0,0,0,0,3,2,12
Nyamanzi,50,4.445610083,2,0,3,0,3,0,0,3,3,0,0,2,2,2,2,0,0,0,1,1,0,2,2,13
Nyerere,0,44.40942691,,,,,,,,,,,,,,,,,,,,,,,,
Nyuragusu,,36.18499756,,,,,,,,,,,,,,,,,,,,,,,,
Pagali,20,0.261712698,3,0,3,0,3,0,0,0,3,0,2,3,3,3,3,0,3,0,3,3,0,3,0,13
Pagali,20,0.261712698,3,0,3,0,3,0,0,0,3,0,2,3,3,3,3,0,3,0,3,3,0,3,0,13
Paje,60,0.794758552,3,0,3,0,3,2,0,3,3,0,1,3,2,2,2,2,2,1,1,2,0,3,3,18
Paje,60,0.794758552,3,0,3,0,3,2,0,3,3,0,1,3,2,2,2,2,2,1,1,2,0,3,3,18
Paje,60,0.794758552,3,0,3,0,3,2,0,3,3,0,1,3,2,2,2,2,2,1,1,2,0,3,3,18
Pale,60,0.574319804,3,2,2,0,3,0,0,3,0,2,0,3,2,2,2,0,0,0,0,0,0,3,3,12
Pangawe,,40.24080114,,,,,,,,,,,,,,,,,,,,,,,,
Pangeni,0,0.420112914,3,0,3,0,3,0,0,2,1,0,0,3,2,2,2,0,2,0,0,0,0,3,2,12
Pete,80,0.221630205,3,0,3,2,3,2,0,0,3,0,3,3,3,3,3,2,2,1,3,3,0,3,3,18
Pete,80,0.221630205,3,0,3,2,3,2,0,0,3,0,3,3,3,3,3,2,2,1,3,3,0,3,3,18
Pitanazako,80,6.939567908,2,0,3,0,3,0,0,3,3,0,0,2,1,3,0,1,1,0,0,0,0,3,2,12
Pongwe,90,0.457920739,3,0,3,2,3,0,0,2,3,0,1,2,3,3,3,0,2,1,2,2,0,2,2,17
Pongwe,90,0.457920739,3,0,3,2,3,0,0,2,3,0,1,2,3,3,3,0,2,1,2,2,0,2,2,17
Potoa,0,1.824176145,3,0,3,0,3,0,0,3,3,1,0,3,3,0,0,1,1,0,0,1,0,3,3,13
PwaniMchangani,40,2.783115804,3,0,3,0,3,0,0,3,1,0,0,3,1,1,1,0,0,0,0,0,0,2,2,11
Rahaleo,0,31.32487118,,,,,,,,,,,,,,,,,,,,,,,,
Saateni,0,43.55409218,,,,,,,,,,,,,,,,,,,,,,,,
Sebleni,0,46.24387918,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Shakani,40,4.697689272,3,0,2,0,3,0,0,2,2,0,0,1,0,0,0,0,0,0,1,1,0,2,2,10
Shangani,0,31.56896801,,,,,,,,,,,,,,,,,,,,,,,,
SharifuMsa,70,20.76674264,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
Shaurimoyo,0,51.94399298,,,,,,,,,,,,,,,,,,,,,,,,
Sogea,0,42.46404046,,,,,,,,,,,,,,,,,,,,,,,,
Sokoni,60,36.45114727,,,,,,,,,,,,,,,,,,,,,,,,
Tasani,50,0.792997804,3,0,3,0,3,2,0,0,3,2,2,2,2,2,0,0,0,0,1,0,0,3,3,13
Tasani,50,0.792997804,3,0,3,0,3,2,0,0,3,2,2,2,2,2,0,0,0,0,1,0,0,3,3,13
Tasani,50,0.792997804,3,0,3,0,3,2,0,0,3,2,2,2,2,2,0,0,0,0,1,0,0,3,3,13
Taveta,,44.06910586,2,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
Tazari,0,1.692419983,3,0,3,0,3,0,0,2,2,0,0,3,1,1,1,0,1,0,0,0,0,3,0,11
Tindini,60,0.823127989,2,1,0,3,3,0,0,3,3,0,0,3,3,3,3,0,2,0,2,3,0,3,3,15
Tindini,60,0.823127989,2,1,0,3,3,0,0,3,3,0,0,3,3,3,3,0,2,0,2,3,0,3,3,15
Tomondo,0,24.66617506,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tunduni,80,1.187639483,3,0,3,0,3,0,0,2,2,0,0,3,2,2,2,0,2,0,0,0,0,3,2,12
Tunduni,80,1.187639483,3,0,3,0,3,0,0,2,2,0,0,3,2,2,2,0,2,0,0,0,0,3,2,12
Tunguu,50,2.223850249,3,0,1,0,2,2,0,3,3,0,0,3,1,2,1,2,2,0,0,0,0,3,3,14
Tunguu,50,2.223850249,3,0,1,0,2,2,0,3,3,0,0,3,1,2,1,2,2,0,0,0,0,3,3,14
Ubago,70,1.206764122,3,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,7
Ubago,70,1.206764122,3,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,7
Uholanzi,0,26.4267356,,,,,,,,,,,,,,,,,,,,,,,,
Ukongoroni,90,0.05682784,2,0,2,2,3,1,0,0,2,0,2,2,3,3,3,2,2,2,2,2,2,2,2,19
Ukongoroni,90,0.05682784,2,0,2,2,3,1,0,0,2,0,2,2,3,3,3,2,2,2,2,2,2,2,2,19
Umbuji,40,0.214446674,3,0,3,0,3,0,0,2,0,0,0,3,0,2,0,0,2,0,0,0,0,3,2,9
Umbuji,40,0.214446674,3,0,3,0,3,0,0,2,0,0,0,3,0,2,0,0,2,0,0,0,0,3,2,9
UngujaukuuKaebona,50,0.394048297,3,0,3,3,3,2,3,3,0,2,3,3,3,3,3,3,3,2,2,2,2,3,3,21
UngujaukuuKaebona,50,0.394048297,3,0,3,3,3,2,3,3,0,2,3,3,3,3,3,3,3,2,2,2,2,3,3,21
Ungujaukuukaepwani,80,1.361930581,3,0,3,0,3,0,0,3,3,0,3,3,3,3,3,0,3,0,0,3,0,3,3,14
Ungujaukuukaepwani,80,1.361930581,3,0,3,0,3,0,0,3,3,0,3,3,3,3,3,0,3,0,0,3,0,3,3,14
Upenja,0,0.371015841,3,0,3,0,3,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,3,1,10
Uroa,70,1.23625657,2,0,3,0,3,0,0,0,3,0,2,3,3,3,3,0,3,0,2,2,0,3,0,13
Uroa,70,1.23625657,2,0,3,0,3,0,0,0,3,0,2,3,3,3,3,0,3,0,2,2,0,3,0,13
Urusi,0,57.31004149,,,,,,,,,,,,,,,,,,,,,,,,
Uvivini,80,1.606650766,2,0,2,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,6
Uwandani,0,4.318534678,2,0,0,0,3,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,2,1,9
Uzi,0,37.45781294,2,1,3,1,3,2,0,0,3,0,0,3,3,3,3,2,2,0,2,2,0,3,0,16
Uzi,60,2.25462272,2,1,3,1,3,2,0,0,3,0,0,3,3,3,3,2,2,0,2,2,0,3,0,16
Uzi,60,2.25462272,2,1,3,1,3,2,0,0,3,0,0,3,3,3,3,2,2,0,2,2,0,3,0,16
Uzini,100,1.447384008,3,0,3,0,3,0,0,1,0,0,0,3,1,1,2,0,0,0,0,0,0,3,1,10
Uzini,100,1.447384008,3,0,3,0,3,0,0,1,0,0,0,3,1,1,2,0,0,0,0,0,0,3,1,10
Vikokotoni,0,47.49948571,,,,,,,,,,,,,,,,,,,,,,,,
Welezo,40,18.34404814,3,0,3,0,3,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,10
Zingwezingwe,0,0.33268801,3,1,2,0,3,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,8
