SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,hunt_diversity
Fukuchani,20,168.1177662,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2
Fumba,70,254.7686404,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,4
Gamba,0,232.9821922,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,3,0,0,3,3,3,0,3,7
Ghana,70,76.04359287,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Ghana,70,76.04359287,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Gomani,80,145.7234616,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,4
Gulioni,0,4610.274516,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,70,521.8999043,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
JambianiKibigija,80,61.09014162,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5
JambianiKibigija,80,61.09014162,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5
JambianiKibigija,80,61.09014162,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5
JambianiKikadini,50,30.36154404,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,3,0,0,5
JambianiKikadini,50,30.36154404,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,3,0,0,5
JambianiKikadini,50,30.36154404,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,3,0,0,5
Jang'ombe,0,5347.123378,,,,,,,,,,,,,,,,,,,,,,,,
Jendele,40,92.75531951,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,2,2,0,0,0,5
Jendele,40,92.75531951,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,2,2,0,0,0,5
Jongowe,0,166.4707088,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,4
Jugakuu,0,94.01412555,0,0,0,0,3,0,0,2,0,0,0,3,1,1,1,0,0,0,3,3,0,0,2,9
Jumbi,0,415.7803884,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Jumbi,0,415.7803884,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kajengwa,40,26.48533865,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,2,2,0,0,8
Kajengwa,40,26.48533865,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,2,2,0,0,8
Kajengwa,40,26.48533865,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,2,2,0,0,8
Kama,60,503.6025874,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kandwi,0,38.9326217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
Karakana,0,1771.629743,,,,,,,,,,,,,,,,,,,,,,,,
Kianga,40,805.3202768,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,5
Kibeni,0,368.1559452,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
KibojeMkwajuni,80,66.46014094,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
KibojeMwembeshauri,60,42.69090532,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Kiboje,80,66.46014094,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Kiboje,60,42.69090532,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Kibondeni,60,250.1613833,0,0,0,3,2,3,0,2,2,0,2,3,0,0,0,3,3,0,0,3,0,0,0,10
Kibuteni,50,10.39974538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,3,0,0,4
Kibuteni,50,10.39974538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,3,0,0,4
Kibuteni,50,10.39974538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,3,0,0,4
Kibweni,30,3078.710458,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kidanzini,20,117.1631342,0,0,0,0,0,0,3,2,3,0,0,3,0,0,0,0,3,0,3,2,0,0,0,7
Kidimni,70,248.315957,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kidimni,70,248.315957,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kidombo,0,310.9154872,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3
KidongoChekundu,0,3670.445378,,,,,,,,,,,,,,,,,,,,,,,,
Kidoti,0,79.26581447,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2
KiembeSamaki,50,2211.430761,,,,,,,,,,,,,,,,,,,,,,,,
Kigomani,30,132.1994244,0,0,0,0,3,0,0,3,3,0,0,2,2,2,2,0,0,0,3,0,0,0,3,9
Kigongoni,0,40.27549788,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Kigunda,0,277.463726,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,4
Kihinani,60,2185.921342,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kijibwemtu,80,5.425591451,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kijibwemtu,60,56.12122304,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kijibwemtu,80,5.425591451,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mchanganishamba,60,56.12122304,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kijichi,20,2079.918135,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kijini,40,38.57501965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kijini,40,38.57501965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kijini,40,38.57501965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KijiniMatemwe,0,32.04712839,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kijitoupele,0,2637.110595,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kikaangoni,0,3146.905827,,,,,,,,,,,,,,,,,,,,,,,,
Kikobweni,0,124.5567921,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,2,0,0,4
Kikungwi,40,60.07833422,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,5
Kikungwi,40,60.07833422,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,5
KikwajuniBondeni,0,3436.174477,,,,,,,,,,,,,,,,,,,,,,,,
KikwaJunijuu,30,1114.043202,,,,,,,,,,,,,,,,,,,,,,,,
KilimahewaBondeni,0,5570.192301,,,,,,,,,,,,,,,,,,,,,,,,
KilimahewaJuu,0,4101.866109,,,,,,,,,,,,,,,,,,,,,,,,
Kilimani,40,998.2579476,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,4
Kilimani,0,116.6287904,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,4
Kilindi,0,127.9297982,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3
Kilombero,0,27.26201671,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kinduni,60,160.7199393,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3
Kinuni,0,4209.104043,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Kinyasini,0,208.769029,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,4
Kiombamvua,60,283.8869383,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kiongoni,50,277.0331519,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4
Kiongoni,50,277.0331519,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4
Kiongoni,50,277.0331519,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4
Kiongwekidogo,0,30.54737148,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2
Kipange,0,41.93245715,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Kiponda,0,4116.380734,,,,,,,,,,,,,,,,,,,,,,,,
Kisauni,0,1015.276388,,,,,,,,,,,,,,,,,,,,,,,,
KisimaMajongoo,0,4850.07247,,,,,,,,,,,,,,,,,,,,,,,,
Kisiwandui,0,5300.519137,,,,,,,,,,,,,,,,,,,,,,,,
Kisongoni,50,114.9072756,1,0,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
Kitogani,70,39.87598899,0,1,0,0,3,1,1,1,1,0,0,3,0,0,0,0,0,3,3,3,3,0,0,11
Kitogani,70,39.87598899,0,1,0,0,3,1,1,1,1,0,0,3,0,0,0,0,0,3,3,3,3,0,0,11
Kitogani,70,39.87598899,0,1,0,0,3,1,1,1,1,0,0,3,0,0,0,0,0,3,3,3,3,0,0,11
Kitope,60,136.242947,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,3,3,2,3,9
Kiungani,0,931.4131509,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Kivunge,30,782.577743,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Kiwengwa,100,97.99874988,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,2,0,0,3,3,0,0,0,8
Kizimbani,40,135.112357,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
KizimkaziDimbani,70,94.78419362,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
KizimkaziDimbani,70,94.78419362,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
KizimkaziDimbani,70,94.78419362,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
KizimkaziMkunguni,70,108.4103655,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,6
KizimkaziMkunguni,70,108.4103655,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,6
KizimkaziMkunguni,70,108.4103655,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,6
Koani,40,298.3061152,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Koani,40,298.3061152,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kombeni,30,296.3336377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2
Kwaalimsha,0,5092.469056,,,,,,,,,,,,,,,,,,,,,,,,
Kwaalinatu,0,4408.564853,,,,,,,,,,,,,,,,,,,,,,,,
KwabitiHamrani,0,3275.856683,,,,,,,,,,,,,,,,,,,,,,,,
Kwagoa,40,2385.290275,,,,,,,,,,,,,,,,,,,,,,,,
Kwagube,20,240.0926207,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Kwahani,0,5217.116976,,,,,,,,,,,,,,,,,,,,,,,,
Kwamchina,0,3766.134457,,,,,,,,,,,,,,,,,,,,,,,,
Kwamtipura,0,5867.321764,,,,,,,,,,,,,,,,,,,,,,,,
KwamtumwaJeni,0,3282.295867,,,,,,,,,,,,,,,,,,,,,,,,
kwarara,40,1126.764372,,,,,,,,,,,,,,,,,,,,,,,,
kwarara,0,2907.376275,,,,,,,,,,,,,,,,,,,,,,,,
KwaWazee,0,3519.714443,,,,,,,,,,,,,,,,,,,,,,,,
Machui,60,127.6083117,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Machui,60,127.6083117,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mafufuni,0,116.1357127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magogoni,0,3804.330445,,,,,,,,,,,,,,,,,,,,,,,,
Magomeni,0,3181.110111,,,,,,,,,,,,,,,,,,,,,,,,
Mahonda,0,413.6284023,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Majenzi,30,50.7647693,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Makadara,0,5297.529909,,,,,,,,,,,,,,,,,,,,,,,,
Makoba,0,212.6769521,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3
Malindi,0,3696.432361,,,,,,,,,,,,,,,,,,,,,,,,
Mambosasa,0,2670.916623,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
